,degree
jon,0.14678899082568808
stannis,0.13302752293577982
arya,0.12385321100917432
sansa,0.12385321100917432
catelyn,0.11467889908256881
theon,0.10091743119266056
tyrion,0.0871559633027523
robert,0.08256880733944955
renly,0.07339449541284404
davos,0.06422018348623854
rodrik,0.05963302752293578
jaime,0.05504587155963303
tywin,0.05504587155963303
rickon,0.05045871559633028
bronn,0.05045871559633028
yoren,0.05045871559633028
brienne,0.045871559633027525
cersei,0.045871559633027525
varys,0.04128440366972477
hot,0.03669724770642202
amory,0.03669724770642202
qhorin,0.03669724770642202
jorah,0.03669724770642202
asha,0.03669724770642202
melisandre,0.03211009174311927
ned,0.03211009174311927
black,0.03211009174311927
shae,0.03211009174311927
hodor,0.027522935779816515
lommy,0.027522935779816515
craster,0.027522935779816515
cressen,0.027522935779816515
gendry,0.027522935779816515
sam,0.022935779816513763
lancel,0.022935779816513763
weese,0.022935779816513763
osha,0.022935779816513763
meera,0.022935779816513763
aegon,0.022935779816513763
jaqen,0.022935779816513763
jojen,0.022935779816513763
robb,0.01834862385321101
dontos,0.01834862385321101
florian,0.01834862385321101
patchface,0.01834862385321101
chiswyck,0.01834862385321101
queen,0.01834862385321101
jacelyn,0.01834862385321101
lollys,0.01834862385321101
loras,0.01834862385321101
pycelle,0.01834862385321101
balon,0.01834862385321101
frey,0.01834862385321101
tanda,0.01834862385321101
shagga,0.01834862385321101
syrio,0.01834862385321101
biter,0.01834862385321101
kurz,0.013761467889908258
timett,0.013761467889908258
mandon,0.013761467889908258
cleos,0.013761467889908258
old,0.013761467889908258
rorge,0.013761467889908258
weasel,0.013761467889908258
selyse,0.013761467889908258
roose,0.013761467889908258
aemon,0.013761467889908258
tickler,0.013761467889908258
myrcella,0.013761467889908258
rhaegar,0.013761467889908258
tommen,0.013761467889908258
gregor,0.013761467889908258
petyr,0.013761467889908258
mormont,0.013761467889908258
stonesnake,0.013761467889908258
luwin,0.013761467889908258
esgred,0.013761467889908258
ygritte,0.013761467889908258
pyat,0.013761467889908258
xaro,0.013761467889908258
vargo,0.013761467889908258
mikken,0.013761467889908258
thoren,0.013761467889908258
jhogo,0.013761467889908258
grenn,0.013761467889908258
meryn,0.013761467889908258
dywen,0.013761467889908258
aeron,0.013761467889908258
devan,0.013761467889908258
dagmer,0.013761467889908258
osfryd,0.009174311926605505
irri,0.009174311926605505
sigrin,0.009174311926605505
caswell,0.009174311926605505
benfred,0.009174311926605505
estermont,0.009174311926605505
kyra,0.009174311926605505
alliser,0.009174311926605505
rymund,0.009174311926605505
mace,0.009174311926605505
mirri,0.009174311926605505
jarman,0.009174311926605505
rattleshirt,0.009174311926605505
mother,0.009174311926605505
hallyne,0.009174311926605505
brandon,0.009174311926605505
lysa,0.009174311926605505
salladhor,0.009174311926605505
marya,0.009174311926605505
viserys,0.009174311926605505
rickard,0.009174311926605505
koss,0.009174311926605505
desmond,0.009174311926605505
gyles,0.009174311926605505
hoster,0.009174311926605505
cortnay,0.009174311926605505
boros,0.009174311926605505
ebben,0.009174311926605505
shireen,0.009174311926605505
drogo,0.009174311926605505
edmure,0.009174311926605505
emmon,0.009174311926605505
ghost,0.009174311926605505
squire,0.009174311926605505
lucan,0.009174311926605505
alayaya,0.009174311926605505
sandor,0.009174311926605505
colen,0.009174311926605505
little,0.009174311926605505
mord,0.009174311926605505
grey,0.009174311926605505
clegane,0.009174311926605505
osney,0.0045871559633027525
robett,0.0045871559633027525
aerys,0.0045871559633027525
baelish,0.0045871559633027525
sweet,0.0045871559633027525
bryce,0.0045871559633027525
allar,0.0045871559633027525
robar,0.0045871559633027525
farlen,0.0045871559633027525
falyse,0.0045871559633027525
lynesse,0.0045871559633027525
aron,0.0045871559633027525
minisa,0.0045871559633027525
othor,0.0045871559633027525
visenya,0.0045871559633027525
rhaenys,0.0045871559633027525
bastard,0.0045871559633027525
chataya,0.0045871559633027525
hosteen,0.0045871559633027525
lyonel,0.0045871559633027525
lark,0.0045871559633027525
guyard,0.0045871559633027525
randyll,0.0045871559633027525
urzen,0.0045871559633027525
preston,0.0045871559633027525
trystane,0.0045871559633027525
margaery,0.0045871559633027525
squint,0.0045871559633027525
reek,0.0045871559633027525
bael,0.0045871559633027525
brown,0.0045871559633027525
leobald,0.0045871559633027525
mors,0.0045871559633027525
arryn,0.0045871559633027525
lorren,0.0045871559633027525
ottyn,0.0045871559633027525
alester,0.0045871559633027525
gilly,0.0045871559633027525
janos,0.0045871559633027525
mathis,0.0045871559633027525
jason,0.0045871559633027525
durran,0.0045871559633027525
daeron,0.0045871559633027525
wex,0.0045871559633027525
alfyn,0.0045871559633027525
moon,0.0045871559633027525
allard,0.0045871559633027525
ilyn,0.0045871559633027525
knight,0.0045871559633027525
big,0.0045871559633027525
wendel,0.0045871559633027525
shagwell,0.0045871559633027525
rainbow,0.0045871559633027525
marei,0.0045871559633027525
brynden,0.0045871559633027525
maegor,0.0045871559633027525
samwell,0.0045871559633027525
jonquil,0.0045871559633027525
mance,0.0045871559633027525
chella,0.0045871559633027525
imry,0.0045871559633027525
pylos,0.0045871559633027525
elenei,0.0045871559633027525
tysha,0.0045871559633027525
florent,0.0045871559633027525
red,0.0045871559633027525
podrick,0.0045871559633027525
maron,0.0045871559633027525
gelmarr,0.0045871559633027525
daenerys,0.0045871559633027525
beth,0.0045871559633027525
jeyne,0.0045871559633027525
gerren,0.0045871559633027525
porther,0.0045871559633027525
fat,0.0045871559633027525
giant,0.0045871559633027525
jhiqui,0.0045871559633027525
cutjack,0.0045871559633027525
chett,0.0045871559633027525
praed,0.0045871559633027525
walder,0.0045871559633027525
hal,0.0045871559633027525
garlan,0.0045871559633027525
septon,0.0045871559633027525
rakharo,0.0045871559633027525
dale,0.0045871559633027525
alysanne,0.0045871559633027525
