src,des,value
jon,qhorin,48
jon,sam,32
arya,gendry,32
jon,mormont,29
arya,yoren,26
robert,stannis,25
renly,stannis,25
craster,jon,22
brienne,catelyn,21
davos,stannis,20
catelyn,renly,20
jojen,meera,20
arya,weese,19
jon,stonesnake,16
arya,jaqen,16
arya,hot,16
brienne,renly,16
renly,robert,14
arya,lommy,14
cersei,jaime,13
cressen,pylos,12
dontos,sansa,12
davos,melisandre,11
lommy,yoren,11
esgred,theon,11
gendry,yoren,10
catelyn,hoster,10
ned,robert,10
gendry,hot,9
hot,lommy,9
sansa,stannis,9
jon,ygritte,9
pyat,xaro,8
catelyn,ned,8
shae,varys,8
cortnay,stannis,8
cressen,davos,8
hodor,rodrik,8
catelyn,stannis,8
cressen,stannis,7
arya,vargo,7
catelyn,jaime,7
gendry,lommy,7
davos,imry,7
hodor,meera,7
biter,jaqen,7
cortnay,davos,7
stannis,tyrion,6
hodor,rickon,6
arya,syrio,6
stannis,tywin,6
jon,thoren,6
boros,sansa,6
chella,shae,6
balon,theon,6
ned,theon,6
asha,theon,6
jhogo,jorah,6
grenn,jon,6
tyrion,varys,6
jon,mance,6
boros,meryn,6
craster,mormont,6
cersei,lancel,6
jorah,xaro,6
catelyn,robert,6
amory,arya,6
ebben,jon,6
cressen,shireen,6
tywin,weese,6
jon,ned,6
devan,stannis,5
jorah,pyat,5
dagmer,theon,5
drogo,jorah,5
rodrik,theon,5
lancel,robert,5
catelyn,edmure,5
cersei,tyrion,5
aeron,dagmer,5
aeron,theon,5
dywen,jon,5
florian,jonquil,5
davos,renly,5
arya,sansa,5
bronn,tyrion,5
jon,samwell,5
hodor,osha,5
renly,tywin,5
brienne,emmon,5
cressen,patchface,5
brienne,stannis,5
arya,tywin,5
robert,sansa,5
shae,tyrion,5
ghost,jon,5
dywen,grenn,5
jon,squire,5
jhogo,xaro,5
meryn,sansa,5
grenn,sam,4
catelyn,cersei,4
maegor,sansa,4
chiswyck,weese,4
brynden,catelyn,4
jon,robert,4
arya,roose,4
jojen,rickon,4
alayaya,marei,4
rainbow,stannis,4
sandor,sansa,4
bronn,jacelyn,4
