src,des,value
jon,tormund,45
jon,stannis,43
jon,melisandre,41
barristan,hizdahr,36
gerris,quentyn,34
bowen,jon,32
hodor,meera,21
daario,hizdahr,19
jojen,meera,19
asha,justin,17
jon,satin,17
hizdahr,skahaz,16
davos,stannis,15
melisandre,stannis,15
ramsay,reek,14
barristan,daario,13
irri,jhiqui,13
barristan,daenerys,13
clydas,jon,12
jon,ygritte,12
jon,sam,12
hizdahr,reznak,12
jon,val,12
alys,jon,12
barristan,quentyn,11
asha,qarl,11
haggon,varamyr,11
jon,rattleshirt,10
yandry,ysilla,10
daenerys,hizdahr,10
jorah,tyrion,10
moqorro,victarion,10
barristan,khrazz,10
sweets,yezzan,10
asha,galbart,10
davos,godric,9
janos,jon,9
jon,robert,9
asha,stannis,9
barristan,groleo,9
jon,mord,9
barristan,skahaz,8
ramsay,theon,8
bracken,jaime,8
devan,stannis,8
arya,jon,8
bowen,othell,8
roose,stannis,8
dornish,quentyn,8
brown,daario,8
roose,theon,8
daenerys,quentyn,8
justin,stannis,8
nurse,yezzan,8
jon,queen,7
daario,daenerys,7
dornish,gerris,7
ramsay,roose,7
barristan,missandei,7
asha,godry,7
arya,ramsay,7
godry,jon,7
jon,septon,7
thistle,varamyr,7
haldon,tyrion,7
ramsay,stannis,7
hodor,jojen,7
jorah,penny,7
daenerys,gerris,7
penny,yezzan,7
haldon,qavo,6
barristan,galazza,6
archibald,quentyn,6
jon,mance,6
euron,victarion,6
jaime,tytos,6
cletus,quentyn,6
haldon,illyrio,6
axell,jon,6
jaime,jonos,6
hizdahr,quentyn,6
hizdahr,khrazz,6
penny,tyrion,6
melisandre,queen,6
reznak,skahaz,5
arnolf,jon,5
lemore,yandry,5
jon,patrek,5
denys,jon,5
moqorro,penny,5
ramsay,skinner,5
daenerys,viserys,5
jon,sigorn,5
jorah,mormont,5
cregan,jon,5
barristan,steelskin,5
robert,stannis,5
barristan,grey,5
jon,old,5
borroq,jon,5
daenerys,jorah,5
bracken,jonos,5
brown,reznak,5
devan,jon,5
mance,melisandre,5
mance,stannis,5
davos,robett,5
gilly,sam,5
davos,garth,5
craster,jon,5
jeyne,ramsay,5
stannis,tywin,4
black,jon,4
stannis,theon,4
justin,richard,4
toregg,tormund,4
emmett,jon,4
jon,tom,4
rowan,theon,4
queen,stannis,4
arya,theon,4
blackwood,bracken,4
jeyne,theon,4
areo,balon,4
holly,rowan,4
jon,tycho,4
illyrio,tywin,4
stannis,val,4
barristan,xaro,4
cersei,kevan,4
arron,emrick,4
asha,robert,4
gerris,meris,4
green,hizdahr,4
young,ysilla,4
jon,patchface,4
asha,torgon,4
daario,jhogo,4
denzo,quentyn,4
asha,clayton,4
aerys,rhaegar,4
sam,stannis,4
haldon,yandry,4
alliser,jon,4
asha,euron,4
aegon,daenerys,4
kyra,ramsay,4
illyrio,tyrion,4
kevan,robert,4
daenerys,irri,4
daenerys,reznak,4
daenerys,missandei,4
barristan,reznak,4
jon,wick,4
aegon,haldon,4
jon,mully,3
bowen,tormund,3
ellaria,obara,3
obara,tyene,3
ramsay,sour,3
joramun,mance,3
daenerys,xaro,3
rhaegar,young,3
asha,sybelle,3
lemore,young,3
narbert,queen,3
aegon,rhaegar,3
jon,selyse,3
davos,melisandre,3
godry,stannis,3
aegon,franklyn,3
dick,quentyn,3
haldon,harry,3
davos,marlon,3
alysane,asha,3
barristan,rhaegar,3
richard,stannis,3
davos,leona,3
caggo,denzo,3
mollono,symon,3
asha,hagen,3
balon,obara,3
myrcella,obara,3
daario,irri,3
daario,jhiqui,3
bowen,melisandre,3
jhiqui,missandei,3
jeyne,sansa,3
barristan,symon,3
halleck,harma,3
hairy,jon,3
hizdahr,missandei,3
jon,weeper,3
barristan,jhogo,3
jon,leathers,3
jon,rory,3
rhaegar,robert,3
leaf,meera,3
brynden,hodor,3
big,ramsay,3
barbrey,ramsay,3
devan,melisandre,3
ben,brown,3
asha,grimtongue,3
grey,skahaz,3
cromm,qarl,3
harma,jon,3
benerro,tyrion,3
big,little,3
davos,wylis,3
balon,doran,3
benjen,jon,3
godry,justin,3
grenn,jon,3
jon,roose,3
jon,owen,3
bartimus,davos,3
marlon,stannis,3
arya,roose,3
haldon,ysilla,3
barristan,great,3
arya,jeyne,3
mord,ramsay,3
haldon,young,3
kevan,stannis,3
patchface,queen,3
holly,jeyne,3
squirrel,theon,3
grey,stalwart,3
cletus,gerris,3
brown,tyrion,3
kedry,quentyn,3
alys,melisandre,3
brown,yezzan,3
gilly,jon,3
hoster,jaime,3
illyrio,jaime,3
blackwood,jaime,3
tyrion,tywin,3
aemon,sam,3
frenya,jeyne,3
belaquo,hizdahr,3
belwas,daenerys,3
daenerys,illyrio,3
belwas,hizdahr,3
aegon,illyrio,3
brandon,meera,3
barristan,gerris,3
cleon,hizdahr,3
scar,yezzan,3
euron,moqorro,3
eddard,jon,3
aeron,victarion,3
barristan,jon,3
kerwin,victarion,3
giant,hizdahr,3
hop-robin,jon,3
jon,ulmer,3
aegon,barristan,3
alys,arnolf,3
dywen,jon,3
nurse,penny,3
skinner,theon,3
penny,sweets,3
mance,varamyr,3
harys,kevan,3
jon,kegs,3
kevan,mace,3
jon,kedge,3
jon,malegorn,3
axell,melisandre,3
asha,dagon,2
penny,sansa,2
euron,harlaw,2
asha,black,2
brown,penny,2
harle,tormund,2
hizdahr,yurkhaz,2
kevan,randyll,2
mord,reek,2
arya,mikken,2
nurse,tyrion,2
balon,victarion,2
gerris,hizdahr,2
black,franklyn,2
jon,ronald,2
robert,ronald,2
clayton,godry,2
arnolf,asha,2
dagon,ramsay,2
asha,balon,2
garth,therry,2
arya,stannis,2
euron,kerwin,2
daenerys,euron,2
jon,theon,2
bastard,jon,2
cotter,jon,2
ralf,victarion,2
benerro,jorah,2
davos,frey,2
kevan,pycelle,2
captain,victarion,2
alannys,asha,2
longwater,victarion,2
boros,kevan,2
longwater,wulfe,2
asha,lorren,2
victarion,wulfe,2
clayton,justin,2
aegon,kevan,2
asha,erik,2
gerrick,raymun,2
beans,books,2
gerris,tattered,2
halleck,jon,2
ramsay,tormund,2
barristan,irri,2
haldon,lemore,2
aegon,tyrion,2
marghaz,reznak,2
elia,rhaegar,2
barristan,bhakaz,2
ashara,barristan,2
draqaz,qezza,2
archibald,dornish,2
brogg,jon,2
caggo,quentyn,2
hizdahr,qezza,2
galazza,skahaz,2
cleon,queen,2
mace,stannis,2
axell,gerrick,2
grazhar,qezza,2
benerro,qavo,2
doniphos,tyrion,2
daenerys,haldon,2
hammer,kem,2
archibald,gerris,2
gerrick,jon,2
cersei,rhaegar,2
bastard,sour,2
ben,mord,2
reek,roose,2
beans,dick,2
aenys,walder,2
arnolf,arthor,2
beans,gerris,2
drinkwater,quentyn,2
kevan,queen,2
aegon,robert,2
jon,rhaegar,2
boros,meryn,2
jon,mormont,2
franklyn,harry,2
daenerys,lysono,2
kevan,ronnet,2
brown,kasporio,2
ralf,red,2
aegon,elia,2
kem,snatch,2
aerys,robert,2
kasporio,yezzan,2
patchface,princess,2
arya,ned,2
arianne,obara,2
dorea,obella,2
captain,yezzan,2
brown,yurkhaz,2
areo,arianne,2
balon,myrcella,2
myrcella,trystane,2
cersei,jaime,2
arianne,balon,2
nymeria,obara,2
balon,tyene,2
hildy,mord,2
jaime,robert,2
barba,jaime,2
bracken,stone,2
blackwood,hoster,2
kyra,theon,2
brienne,jaime,2
frey,roose,2
alys,cregan,2
axell,queen,2
barsena,hizdahr,2
jeyne,jon,2
daario,groleo,2
areo,nymeria,2
doran,myrcella,2
barristan,belwas,2
othell,septon,2
dornish,missandei,2
braavosi,stannis,2
barristan,dornish,2
clydas,mully,2
barristan,willem,2
dornish,hizdahr,2
cregan,harry,2
holly,ramsay,2
jorah,nurse,2
mormont,yezzan,2
asha,roose,2
euron,stannis,2
jorah,yezzan,2
nurse,sweets,2
ned,robert,2
frey,stannis,2
ramsay,ryswell,2
hosteen,roose,2
mormont,penny,2
hugor,penny,2
bowen,septon,2
satin,septon,2
penny,yurkhaz,2
hizdahr,marghaz,2
meris,tattered,2
davos,glover,2
arya,melisandre,2
jaime,tywin,2
garth,hairy,2
jack,jon,2
melisandre,morgan,2
cersei,margaery,2
moelle,scolera,2
kevan,scolera,2
kevan,lancel,2
azor,melisandre,2
barristan,red,2
daario,grey,2
stannis,tycho,2
kevan,tommen,2
brown,eroeh,2
barristan,ben,2
mace,paxter,2
dornish,myrcella,2
miklaz,reznak,2
groleo,hizdahr,2
bastard,theon,2
ramsay,wyman,2
grey,hizdahr,2
glover,robb,2
jaime,mother,2
jaime,qyburn,2
galazza,reznak,2
blood,ramsay,2
irri,missandei,2
jhiqui,rakharo,2
grey,symon,2
barristan,bloodbeard,2
dornish,reznak,2
lewyn,quentyn,2
aegon,quentyn,2
rowan,squirrel,2
brynden,leaf,2
hizdahr,jhiqui,2
arya,old,2
brynden,meera,2
belaquo,goghor,2
jon,torwynd,2
jorah,moqorro,2
frey,walda,2
bastard,skinner,2
tormund,val,2
queen,val,2
old,weeper,2
long,tormund,2
barbrey,roose,2
mance,tormund,2
