,degree
jaime,0.2636363636363636
brienne,0.13636363636363635
robert,0.11818181818181818
cersei,0.10909090909090909
sam,0.07272727272727272
petyr,0.06818181818181818
qyburn,0.06363636363636363
arianne,0.05909090909090909
taena,0.05909090909090909
merryweather,0.05454545454545454
margaery,0.05454545454545454
asha,0.049999999999999996
loras,0.049999999999999996
victarion,0.049999999999999996
aeron,0.049999999999999996
septon,0.04090909090909091
gyles,0.04090909090909091
pycelle,0.04090909090909091
euron,0.04090909090909091
sansa,0.03636363636363636
podrick,0.03636363636363636
tywin,0.03636363636363636
balon,0.03636363636363636
tommen,0.03636363636363636
harys,0.03636363636363636
kevan,0.031818181818181815
stannis,0.031818181818181815
osmund,0.031818181818181815
frey,0.031818181818181815
hyle,0.031818181818181815
myrcella,0.02727272727272727
emmon,0.02727272727272727
garin,0.02727272727272727
gilly,0.02727272727272727
arya,0.022727272727272728
mace,0.022727272727272728
osney,0.022727272727272728
falyse,0.022727272727272728
aemon,0.022727272727272728
lysa,0.022727272727272728
jon,0.022727272727272728
alayne,0.01818181818181818
melara,0.01818181818181818
spotted,0.01818181818181818
sandor,0.01818181818181818
lyn,0.01818181818181818
rhaegar,0.01818181818181818
megga,0.01818181818181818
aurane,0.01818181818181818
baelor,0.01818181818181818
ralf,0.01818181818181818
orton,0.01818181818181818
mollander,0.01818181818181818
edmure,0.01818181818181818
hotho,0.01818181818181818
bronn,0.01818181818181818
walder,0.01818181818181818
edwyn,0.01818181818181818
lancel,0.01818181818181818
dareon,0.01818181818181818
dick,0.01818181818181818
darry,0.01818181818181818
mya,0.01818181818181818
ryman,0.01818181818181818
rodrik,0.01818181818181818
meribald,0.01818181818181818
aerys,0.013636363636363636
terro,0.013636363636363636
catelyn,0.013636363636363636
shagwell,0.013636363636363636
lothor,0.013636363636363636
ilyn,0.013636363636363636
lyonel,0.013636363636363636
black,0.013636363636363636
quellon,0.013636363636363636
maggy,0.013636363636363636
doran,0.013636363636363636
genna,0.013636363636363636
gregor,0.013636363636363636
dornish,0.013636363636363636
daven,0.013636363636363636
quentyn,0.013636363636363636
sylva,0.013636363636363636
braavosi,0.013636363636363636
myranda,0.013636363636363636
alleras,0.013636363636363636
tyene,0.013636363636363636
narbert,0.013636363636363636
moon,0.013636363636363636
amerei,0.00909090909090909
grey,0.00909090909090909
senelle,0.00909090909090909
corbray,0.00909090909090909
gormond,0.00909090909090909
clegane,0.00909090909090909
symond,0.00909090909090909
olenna,0.00909090909090909
dalla,0.00909090909090909
talea,0.00909090909090909
arryn,0.00909090909090909
manfrey,0.00909090909090909
gerold,0.00909090909090909
torbert,0.00909090909090909
raynard,0.00909090909090909
rosby,0.00909090909090909
queen,0.00909090909090909
oberyn,0.00909090909090909
maddy,0.00909090909090909
gretchel,0.00909090909090909
colemon,0.00909090909090909
leo,0.00909090909090909
tyroshi,0.00909090909090909
dorcas,0.00909090909090909
bonifer,0.00909090909090909
brynden,0.00909090909090909
kojja,0.00909090909090909
cedra,0.00909090909090909
balman,0.00909090909090909
jocelyn,0.00909090909090909
randyll,0.00909090909090909
illifer,0.00909090909090909
pate,0.00909090909090909
areo,0.00909090909090909
dontos,0.00909090909090909
nute,0.00909090909090909
gorold,0.00909090909090909
timeon,0.00909090909090909
craster,0.00909090909090909
tully,0.00909090909090909
old,0.00909090909090909
tyrion,0.00909090909090909
jeyne,0.00909090909090909
creighton,0.00909090909090909
maegor,0.004545454545454545
clarence,0.004545454545454545
tristifer,0.004545454545454545
maron,0.004545454545454545
sumner,0.004545454545454545
dickon,0.004545454545454545
stone,0.004545454545454545
elinor,0.004545454545454545
alla,0.004545454545454545
willow,0.004545454545454545
kennos,0.004545454545454545
pia,0.004545454545454545
knight,0.004545454545454545
ned,0.004545454545454545
gendry,0.004545454545454545
cedric,0.004545454545454545
anya,0.004545454545454545
harrold,0.004545454545454545
biter,0.004545454545454545
harry,0.004545454545454545
three-tooth,0.004545454545454545
addam,0.004545454545454545
xhondo,0.004545454545454545
tagganaro,0.004545454545454545
narbo,0.004545454545454545
yohn,0.004545454545454545
mark,0.004545454545454545
blacktyde,0.004545454545454545
andrey,0.004545454545454545
red,0.004545454545454545
hoster,0.004545454545454545
beardless,0.004545454545454545
brea,0.004545454545454545
garrett,0.004545454545454545
orbelo,0.004545454545454545
horton,0.004545454545454545
tyrek,0.004545454545454545
roslin,0.004545454545454545
hayford,0.004545454545454545
brusco,0.004545454545454545
gillam,0.004545454545454545
renly,0.004545454545454545
rus,0.004545454545454545
trystane,0.004545454545454545
roone,0.004545454545454545
arthur,0.004545454545454545
redwyne,0.004545454545454545
rugen,0.004545454545454545
lanna,0.004545454545454545
lollys,0.004545454545454545
denyo,0.004545454545454545
yorko,0.004545454545454545
samwell,0.004545454545454545
thoros,0.004545454545454545
estermont,0.004545454545454545
goodwin,0.004545454545454545
harlaw,0.004545454545454545
dermot,0.004545454545454545
obara,0.004545454545454545
mariya,0.004545454545454545
sybell,0.004545454545454545
wylis,0.004545454545454545
aegon,0.004545454545454545
armen,0.004545454545454545
grenn,0.004545454545454545
torwold,0.004545454545454545
tanda,0.004545454545454545
meryn,0.004545454545454545
lambert,0.004545454545454545
jalabhar,0.004545454545454545
brown,0.004545454545454545
gylbert,0.004545454545454545
hibald,0.004545454545454545
stokeworth,0.004545454545454545
alyn,0.004545454545454545
sky,0.004545454545454545
talbert,0.004545454545454545
tallad,0.004545454545454545
josmyn,0.004545454545454545
roger,0.004545454545454545
shitmouth,0.004545454545454545
forley,0.004545454545454545
rosey,0.004545454545454545
osfryd,0.004545454545454545
umma,0.004545454545454545
waif,0.004545454545454545
ricasso,0.004545454545454545
cleos,0.004545454545454545
