src,des,value
brienne,podrick,36
euron,victarion,28
gilly,sam,27
brienne,hyle,25
brienne,dick,23
dareon,sam,23
brienne,jaime,20
jon,sam,20
ilyn,jaime,19
jaime,tywin,18
aemon,sam,18
petyr,robert,18
brienne,sansa,16
jaime,lancel,16
jaime,robert,15
arianne,myrcella,14
aeron,euron,14
sam,xhondo,14
darry,jaime,13
cersei,jaime,12
darry,lancel,11
creighton,illifer,11
petyr,sansa,11
cersei,margaery,10
aeron,balon,10
loras,margaery,10
asha,victarion,10
cersei,qyburn,10
brienne,creighton,10
brienne,septon,10
asha,rodrik,10
brienne,catelyn,9
arianne,cedra,9
jaime,ryman,9
brienne,gendry,9
sam,stannis,9
mya,robert,8
biter,brienne,8
brienne,renly,8
arianne,garin,8
margaery,tommen,8
aeron,asha,8
hyle,podrick,8
brienne,timeon,8
balon,euron,7
aeron,gorold,7
catelyn,jaime,7
emmon,genna,7
cersei,tommen,7
brienne,illifer,7
cersei,merryweather,7
lysa,petyr,7
moon,osmund,7
daven,jaime,7
alleras,sam,7
hyle,meribald,7
meribald,septon,7
emmon,jaime,7
nute,victarion,7
pycelle,qyburn,7
margaery,osney,7
arianne,quentyn,7
cersei,loras,7
genna,jaime,7
harys,pycelle,6
jaime,loras,6
brienne,shagwell,6
aerys,jaime,6
podrick,septon,6
cersei,taena,6
brienne,dontos,6
areo,arianne,6
jaime,kevan,6
hyle,septon,6
balon,victarion,6
pate,rosey,6
dick,podrick,6
braavosi,sam,6
brienne,randyll,6
mya,myranda,6
robert,taena,6
dorcas,jocelyn,6
balman,falyse,6
jaime,tully,6
cersei,meryn,5
margaery,taena,5
kojja,sam,5
gilly,kojja,5
cersei,kevan,5
osmund,osney,5
dornish,myrcella,5
jaime,tommen,5
arianne,dornish,5
jon,robert,5
asha,balon,5
lothor,mya,5
brynden,jaime,5
grenn,sam,5
bonifer,jaime,5
alleras,mollander,5
edmure,jaime,5
gregor,jaime,5
craster,sam,5
edwyn,jaime,5
aeron,victarion,5
asha,euron,5
jaime,walder,5
margaery,megga,5
craster,gilly,5
cersei,robert,5
arya,denyo,5
lancel,osmund,5
myranda,robert,5
cersei,tywin,4
garin,myrcella,4
arya,old,4
cersei,tyrion,4
orton,taena,4
brienne,jeyne,4
gyles,pycelle,4
arya,yorko,4
jon,stannis,4
jaime,pycelle,4
cersei,mace,4
shagwell,timeon,4
jaime,mace,4
pycelle,robert,4
sam,samwell,4
loras,osmund,4
asha,black,4
edwyn,frey,4
brienne,tywin,4
jaime,taena,4
kevan,lancel,4
estermont,robert,4
brienne,meribald,4
harlaw,rodrik,4
quellon,victarion,4
maggy,melara,4
areo,obara,4
aegon,jaime,4
arianne,doran,4
alyn,hyle,4
gilly,jon,4
alleras,leo,4
aeron,rus,4
narbert,podrick,4
armen,mollander,4
jaime,senelle,4
jaime,wylis,4
jaime,sybell,4
jaime,mariya,4
alayne,mya,4
robert,sansa,4
dermot,jaime,3
lothor,robert,3
cersei,olenna,3
lysa,robert,3
jaime,melara,3
frey,jaime,3
brienne,goodwin,3
dalla,sam,3
taena,tommen,3
lothor,petyr,3
brienne,thoros,3
colemon,petyr,3
lyonel,petyr,3
euron,ralf,3
brynden,emmon,3
cedra,garin,3
hotho,victarion,3
lysa,sansa,3
maddy,robert,3
jaime,qyburn,3
merryweather,orton,3
alayne,sansa,3
bronn,lollys,3
jaime,merryweather,3
aemon,dalla,3
darry,kevan,3
lysa,myranda,3
dareon,lanna,3
dareon,gilly,3
aemon,jaime,3
qyburn,rugen,3
gyles,loras,3
redwyne,sam,3
gyles,qyburn,3
gyles,orton,3
margaery,merryweather,3
harys,kevan,3
hyle,randyll,3
balon,loras,3
gretchel,maddy,3
harys,merryweather,3
jaime,osmund,3
baelor,jaime,3
arthur,jaime,3
margaery,qyburn,3
kevan,tywin,3
aurane,rhaegar,3
mace,margaery,3
mollander,roone,3
frey,ryman,3
euron,torwold,3
queen,tywin,3
lyn,robert,3
doran,dornish,3
manfrey,ricasso,3
alayne,robert,3
colemon,robert,3
arya,waif,3
arya,umma,3
hyle,narbert,3
brienne,sandor,3
alayne,petyr,3
doran,quentyn,3
pycelle,tywin,3
arianne,oberyn,3
qyburn,tywin,3
osfryd,osney,3
spotted,tyene,3
garin,spotted,3
garin,sylva,3
amerei,jaime,3
forley,jaime,3
catelyn,sansa,3
bronn,falyse,3
jaime,shitmouth,3
jaime,roger,3
jaime,josmyn,3
leo,mollander,3
margaery,tallad,3
brienne,clegane,3
merryweather,septon,3
jeyne,maggy,3
aeron,gormond,3
amerei,darry,3
gormond,gorold,3
balman,bronn,3
aeron,quellon,3
melara,taena,3
loras,tommen,3
talbert,victarion,3
petyr,symond,3
robert,sky,3
brienne,rosby,3
oberyn,tyene,3
brienne,grey,3
qyburn,taena,3
cleos,jaime,3
bronn,stokeworth,3
falyse,qyburn,3
edmure,ryman,3
daven,emmon,3
loras,stannis,3
brienne,hibald,3
dontos,sansa,3
aeron,gylbert,3
daven,ryman,2
brienne,brown,2
aerys,rhaegar,2
osney,tommen,2
loras,robert,2
jalabhar,lambert,2
megga,senelle,2
mace,merryweather,2
falyse,tanda,2
myrcella,trystane,2
black,edwyn,2
baelor,victarion,2
edmure,tully,2
garrett,jaime,2
qyburn,stannis,2
septon,torbert,2
ralf,victarion,2
harry,robert,2
raynard,septon,2
harrold,petyr,2
gyles,robert,2
anya,lysa,2
cedric,podrick,2
jaime,podrick,2
arryn,robert,2
gretchel,petyr,2
margaery,pate,2
qyburn,tommen,2
jon,ned,2
cersei,gyles,2
black,kennos,2
cersei,osney,2
brienne,willow,2
euron,nute,2
balon,robert,2
jaime,sandor,2
olenna,queen,2
elinor,megga,2
jaime,moon,2
jaime,sumner,2
asha,maron,2
asha,tristifer,2
rodrik,three-tooth,2
aeron,grey,2
bonifer,gregor,2
hotho,knight,2
arryn,petyr,2
loras,mace,2
addam,ilyn,2
hayford,jaime,2
jaime,tyrek,2
euron,quellon,2
horton,symond,2
moon,petyr,2
arianne,manfrey,2
edmure,emmon,2
orbelo,terro,2
braavosi,terro,2
sam,terro,2
aeron,old,2
hoster,jaime,2
kevan,sandor,2
edwyn,walder,2
maggy,rhaegar,2
rhaegar,robert,2
clegane,sandor,2
robert,tommen,2
asha,baelor,2
baelor,cersei,2
asha,hotho,2
balon,rodrik,2
margaery,pycelle,2
braavosi,red,2
cersei,petyr,2
blacktyde,victarion,2
meribald,podrick,2
mark,megga,2
robert,yohn,2
harys,taena,2
lyn,petyr,2
gerold,quentyn,2
cersei,harys,2
melara,qyburn,2
cersei,jocelyn,2
jaime,sansa,2
pycelle,stannis,2
narbo,tagganaro,2
maegor,qyburn,2
cersei,orton,2
osmund,taena,2
myrcella,spotted,2
andrey,arianne,2
aerys,taena,2
frey,genna,2
myrcella,sylva,2
arianne,gerold,2
brienne,robert,2
beardless,jaime,2
aurane,gyles,2
arianne,sylva,2
cersei,dorcas,2
brea,talea,2
aurane,walder,2
gyles,rosby,2
jaime,roslin,2
emmon,frey,2
merryweather,pycelle,2
merryweather,stannis,2
garin,tyene,2
aurane,merryweather,2
frey,walder,2
gyles,harys,2
tyrion,tywin,2
brusco,talea,2
raynard,torbert,2
cersei,stannis,2
harys,septon,2
arianne,spotted,2
gregor,harys,2
loras,qyburn,2
gillam,narbert,2
corbray,lyn,2
aemon,gilly,2
cersei,falyse,2
dickon,sam,2
aemon,dareon,2
petyr,stone,2
alla,merryweather,2
septon,taena,2
lyn,lyonel,2
clarence,dick,2
corbray,lyonel,2
jaime,pia,2
merryweather,taena,2
osmund,tyroshi,2
balon,ralf,2
brienne,tyroshi,2
asha,ralf,2
dick,shagwell,2
frey,ilyn,2
euron,hotho,2
black,xhondo,2
brienne,narbert,2
asha,lucas,2
arianne,arys,2
merryweather,tommen,2
osney,robert,2
lollys,merryweather,2
bronn,tanda,2
aemon,xhondo,2
aegon,osney,2
maegor,tommen,2
gilly,xhondo,2
quhuru,sam,2
arya,sansa,2
craster,mance,2
amerei,harwyn,2
jaime,merrett,2
gretchel,lysa,2
dick,jaime,2
dalla,gilly,2
petyr,royce,2
hyle,willow,2
brienne,clarence,2
donel,quenton,2
longwaters,rugen,2
cersei,osmund,2
asha,theon,2
harry,myranda,2
harrold,harry,2
arya,ternesio,2
baelor,denyo,2
knight,loras,2
mya,mychel,2
jaime,vargo,2
mother,tommen,2
puckens,shortear,2
cersei,osfryd,2
myrcella,tommen,2
myrcella,tywin,2
arya,jon,2
osfryd,tallad,2
meryn,robert,2
aeron,great,2
aeron,emmond,2
arya,jaime,2
alys,elys,2
gunthor,sam,2
daeron,sam,2
mellei,morra,2
elys,jon,2
robert,tywin,2
jaime,longwaters,2
leo,rosey,2
gyles,terrance,2
garth,gyles,2
nymeria,tyene,2
doran,tyene,2
jeyne,sybell,2
cersei,garth,2
elia,tywin,2
alayne,randa,2
frey,kevan,2
lollys,tywin,2
gyles,tywin,2
margaery,queen,2
alayne,lothor,2
gregor,qyburn,2
jaime,rennifer,2
aerys,tywin,2
edwyn,ryman,2
gretchel,robert,2
robert,septon,2
kevan,tommen,2
maddy,mya,2
obara,tywin,2
caleotte,obara,2
mya,sansa,2
cersei,pycelle,2
aegon,tywin,2
boros,loras,2
leo,pate,2
jaime,jeyne,2
aegon,rhaegar,2
stannis,val,2
lysa,marillion,2
jaehaerys,queen,2
clydas,sam,2
pate,walgrave,2
stannis,tywin,2
marillion,petyr,2
marwyn,sam,2
mollander,pate,2
sam,septon,2
brienne,humfrey,2
aemon,marwyn,2
creighton,sansa,2
margaery,meryn,2
craster,grenn,2
arianne,timoth,2
creighton,hibald,2
brienne,tyrion,2
alleras,armen,2
maddy,sansa,2
emma,rosey,2
belandra,cedra,2
melisandre,sam,2
armen,pate,2
leo,roone,2
moon,sansa,2
lancel,septon,1
jaime,scolera,1
arryk,erryk,1
jaime,mord,1
baelor,frey,1
harys,osfryd,1
amerei,clegane,1
baelor,daena,1
balman,cersei,1
jaime,maegor,1
lancel,tommen,1
boros,margaery,1
ned,robert,1
margaery,wat,1
moelle,unella,1
bronn,loras,1
cersei,high,1
balman,qyburn,1
nysterica,queen,1
raymun,robert,1
aurane,loras,1
mariya,sandor,1
arwood,mariya,1
merrett,sumner,1
addam,amerei,1
addam,kennos,1
biter,catelyn,1
brienne,lem,1
dermot,hugo,1
addam,vance,1
catelyn,edmure,1
black,mariya,1
little,piper,1
elinor,merryweather,1
daven,tywin,1
addam,mariya,1
mace,randyll,1
margaery,septon,1
harys,humfrey,1
danwell,mariya,1
daven,young,1
arthur,lancel,1
amerei,arwood,1
arwood,clegane,1
brienne,gillam,1
donnel,harys,1
amerei,quincy,1
gregor,sandor,1
cersei,queen,1
clement,narbert,1
gillam,podrick,1
dagon,margaery,1
loras,queen,1
baelor,boros,1
hamish,jalabhar,1
merryweather,qyburn,1
hamish,redwyne,1
aurane,margaery,1
boros,meryn,1
baelor,redwyne,1
knight,orton,1
harys,tywin,1
maegor,pycelle,1
knight,pycelle,1
great,robert,1
dagon,qyburn,1
knight,sweet,1
catelyn,renly,1
jocelyn,osfryd,1
euron,willas,1
cersei,sweet,1
hobber,wat,1
mace,willas,1
stannis,willas,1
margaery,stannis,1
loras,sansa,1
osmund,redwyne,1
horas,lambert,1
leyton,willas,1
garlan,margaery,1
hugh,mark,1
garlan,loras,1
meryn,osmund,1
brienne,margaery,1
narbert,septon,1
aurane,mace,1
clement,podrick,1
brienne,clement,1
paxter,redwyne,1
mother,narbert,1
bracken,septon,1
bronn,merryweather,1
harys,maggy,1
darry,frey,1
quincy,septon,1
brienne,quincy,1
osfryd,septon,1
masha,sandor,1
mother,osney,1
gregor,oberyn,1
cersei,stokeworth,1
forley,tully,1
stannis,tyrion,1
brienne,rhaegar,1
maegor,septon,1
blue,visenya,1
moon,osney,1
garlan,septon,1
randyll,sansa,1
sansa,senelle,1
cersei,senelle,1
baelor,queen,1
osfryd,russell,1
darry,walder,1
meryn,taena,1
brienne,galladon,1
alysanne,arianne,1
harwyn,jaime,1
amerei,frey,1
randyll,sam,1
aurane,tywin,1
aegon,septon,1
sam,theon,1
gilly,hightower,1
jaime,russell,1
gunthor,leyton,1
margaery,robert,1
lorcas,sam,1
humfrey,sam,1
norren,walgrave,1
ambrose,megga,1
sam,theobald,1
melisandre,stannis,1
jon,small,1
dareon,xhondo,1
aemon,jon,1
joanna,sweet,1
garth,gunthor,1
aegon,margaery,1
ned,septon,1
aegon,cersei,1
kojja,quhuru,1
high,maegor,1
aegon,hightower,1
beric,jaehaerys,1
sandor,stannis,1
baelor,tyrion,1
meryn,septon,1
aurane,moon,1
bastard,sam,1
brown,stannis,1
baelor,tywin,1
baelor,leyton,1
osfryd,pycelle,1
osmund,qyburn,1
baelor,visenya,1
alleras,walgrave,1
lucantine,portifer,1
bayard,merryweather,1
wylis,zollo,1
gregor,merryweather,1
orton,roose,1
bonifer,cersei,1
aemon,alleras,1
alleras,theobald,1
ben,pia,1
gregor,vargo,1
mord,shitmouth,1
alaric,tommen,1
goat,mord,1
sam,walgrave,1
mord,sandor,1
shitmouth,tickler,1
samwell,stone,1
mord,vargo,1
gregor,tickler,1
alleras,gorghan,1
gorghan,marwyn,1
baelor,bonifer,1
cersei,harren,1
merryweather,osmund,1
leo,randyll,1
leo,sam,1
dornish,sam,1
jaime,visenya,1
robert,ronnet,1
red,rhaegar,1
aerys,robert,1
jon,merryweather,1
alleras,daenerys,1
red,ronnet,1
flement,lyle,1
jaime,rorge,1
rhaegar,stannis,1
shagwell,zollo,1
dornish,kojja,1
elinor,tallad,1
mariya,petyr,1
daven,tytos,1
ryman,walder,1
tommen,walder,1
darry,harys,1
addam,darry,1
walder,whalen,1
drunken,euron,1
edwyn,whalen,1
euron,red,1
black,merrett,1
red,redwyne,1
alvyn,ralf,1
dornish,euron,1
hoster,ilyn,1
black,dunstan,1
euron,knight,1
stonehand,victarion,1
hugo,red,1
lancel,mord,1
margaery,redwyne,1
joy,sybell,1
kevan,pate,1
jeyne,rolph,1
gregor,robb,1
jeyne,rollam,1
raynald,tywin,1
amerei,cleos,1
gerion,joy,1
garrett,qyburn,1
kevan,tytos,1
jaime,joy,1
ottomore,raymun,1
aegon,robert,1
