src,des,value
ned,robert,143
arya,sansa,47
catelyn,ned,42
jon,sam,35
jon,mormont,31
jon,ned,30
grenn,jon,27
arya,jon,25
arya,syrio,23
jorah,viserys,22
catelyn,rodrik,21
jon,tyrion,21
alliser,jon,21
benjen,jon,19
arya,ned,17
bronn,tyrion,17
jon,samwell,17
jon,robert,17
ned,varys,16
arya,nymeria,15
bronn,vardis,14
halder,jon,14
jeyne,sansa,14
drogo,jorah,13
cersei,ned,13
illyrio,viserys,12
catelyn,lysa,12
ned,renly,11
tyrion,tywin,11
ned,pycelle,11
jory,ned,11
barristan,ned,11
bronn,chiggen,11
catelyn,tyrion,10
jaime,tywin,10
ned,rhaegar,9
sandor,sansa,9
jaime,ned,9
mirri,qotho,9
jon,sansa,9
jorah,mirri,9
drogo,viserys,9
lyanna,ned,9
robert,sansa,9
brandon,ned,9
haggo,qotho,9
bronn,catelyn,9
jaime,tyrion,9
irri,jhiqui,9
catelyn,tywin,8
arryn,ned,8
eddard,robert,8
eddard,ned,8
ned,tywin,8
drogo,mirri,8
jaime,robert,8
catelyn,mya,8
barristan,robert,8
brynden,catelyn,8
grenn,halder,7
ned,sansa,7
gregor,ned,7
ghost,jon,7
ned,vayon,7
jon,rickon,7
cersei,robert,7
loras,ned,7
nymeria,sansa,7
ned,petyr,7
kevan,tywin,7
aerys,robert,7
lyanna,robert,6
robert,varys,6
gared,royce,6
catelyn,sansa,6
arya,jeyne,6
catelyn,jaime,6
jaime,sansa,6
aerys,ned,6
drogo,jhiqui,6
jhogo,mirri,6
luwin,rickon,6
queen,sansa,6
catelyn,jon,6
jorah,qotho,6
jhiqui,jorah,6
daenerys,drogo,6
robert,stannis,6
gared,waymar,6
arya,mycah,5
ned,stannis,5
renly,robert,5
robert,tywin,5
meryn,sansa,5
grey,rickon,5
catelyn,theon,5
illyrio,jorah,5
jon,yoren,5
conn,shagga,5
ned,sandor,5
gregor,tywin,5
catelyn,masha,5
luwin,osha,5
jon,stannis,5
mord,tyrion,5
jhogo,jorah,5
bronn,lysa,5
jon,theon,5
lysa,vardis,5
arryn,jon,5
catelyn,robert,5
hodor,old,5
eddard,jon,5
drogo,illyrio,5
daenerys,illyrio,5
jon,old,5
jorah,rhaegar,5
catelyn,hoster,5
ben,jon,5
catelyn,frey,5
jaremy,mormont,5
ned,tomard,5
catelyn,tully,5
loras,sansa,5
sansa,varys,4
barristan,varys,4
ned,tobho,4
stevron,walder,4
benjen,yoren,4
janos,ned,4
aerys,jaime,4
catelyn,marillion,4
daenerys,jorah,4
gregor,sansa,4
catelyn,walder,4
catelyn,grey,4
jon,pycelle,4
sam,samwell,4
albett,jon,4
baelish,ned,4
ned,tyrion,4
alyn,ned,4
alyn,harwin,4
catelyn,vardis,4
irri,jorah,4
mord,shae,4
bronn,jyck,4
drogo,irri,4
arya,robert,4
frey,walder,4
lysa,tyrion,4
shagga,tyrion,4
ilyn,sansa,4
barristan,sansa,4
pycelle,robert,4
mycah,sansa,4
doreah,jhiqui,4
cohollo,jorah,4
pycelle,sansa,4
barristan,cersei,4
arya,tommen,4
arya,myrcella,4
frey,tywin,4
arryn,catelyn,4
bowen,jon,4
jon,lysa,4
jon,rodrik,4
renly,tywin,4
ned,rodrik,4
royce,will,4
benjen,ned,3
donal,jon,3
petyr,robert,3
catelyn,sky,3
aegon,viserys,3
benjen,jaremy,3
rhaegar,viserys,3
hugh,ned,3
ned,tom,3
jafer,othor,3
chett,sam,3
qotho,quaro,3
janos,sansa,3
drogo,jhogo,3
catelyn,moreo,3
brandon,petyr,3
moreo,rodrik,3
moreo,tyroshi,3
bronn,tywin,3
arryn,robert,3
arya,septon,3
dareon,sam,3
catelyn,giant,3
doreah,jorah,3
alliser,tyrion,3
cayn,ned,3
catelyn,donnel,3
arya,catelyn,3
irri,jhogo,3
irri,viserys,3
jorah,mormont,3
grey,ned,3
jon,tywin,3
jon,vardis,3
jhiqui,viserys,3
arya,fat,3
moon,stone,3
lysa,ned,3
old,rickon,3
gregor,loras,3
brandon,rickard,3
roose,tywin,3
hodor,osha,3
catelyn,stone,3
jyck,morrec,3
brandon,catelyn,3
jon,othor,3
alliser,mormont,3
dywen,sam,3
robert,sandor,3
mord,tywin,3
luwin,ned,3
catelyn,mychel,3
gendry,robert,3
jaremy,jon,3
quaro,rakharo,3
catelyn,edmure,3
brynden,ned,3
jory,robert,3
maegor,ned,3
rhaegar,robert,3
jacks,ned,3
jyck,rodrik,3
jon,robb,3
gendry,ned,3
ned,raymun,3
sansa,stannis,3
catelyn,hallis,3
drogo,rhaego,3
catelyn,stevron,3
brandon,jaime,3
