src,des,value
brienne,jaime,74
jon,ygritte,59
jon,mance,37
arya,gendry,34
jojen,meera,33
grenn,sam,32
jon,sam,26
hodor,meera,25
hodor,jojen,25
cleos,jaime,24
craster,sam,24
jon,satin,23
jon,tormund,22
jaime,qyburn,21
melisandre,stannis,20
grenn,jon,20
davos,melisandre,19
arya,sandor,18
arya,tom,17
davos,stannis,17
gregor,oberyn,17
petyr,sansa,16
brienne,cleos,15
jaime,steelshanks,15
jaime,robert,15
gendry,hot,15
lem,tom,14
catelyn,walder,14
aerys,jaime,14
sam,small,13
jarl,jon,13
arya,clegane,13
arstan,jorah,13
jon,qhorin,13
arya,thoros,13
margaery,sansa,13
arya,ned,12
jon,rattleshirt,12
gilly,sam,12
clydas,jon,12
axell,davos,12
lysa,sansa,12
mormont,sam,11
janos,jon,11
sansa,tyrion,10
catelyn,edmure,10
arya,hot,10
robert,sansa,10
lysa,robert,10
davos,salladhor,10
mance,ygritte,10
jaime,loras,9
gendry,thoros,9
jon,stannis,9
bannen,sam,9
catelyn,hoster,9
clegane,sandor,9
gendry,tom,9
sam,stannis,9
merrett,petyr,9
craster,gilly,9
jon,styr,9
catelyn,jeyne,9
dalla,jon,8
jaime,vargo,8
jon,val,8
arya,harwin,8
tyrion,tywin,8
jaime,tywin,8
harma,jon,8
jon,melisandre,8
sandor,tickler,8
sam,samwell,8
jaime,renly,8
cersei,sansa,8
catelyn,roslin,8
arstan,kraznys,8
cersei,jaime,8
brienne,catelyn,8
arya,frey,8
kevan,tywin,8
denys,sam,8
alliser,jon,7
arstan,belwas,7
sansa,tywin,7
axell,stannis,7
donal,jon,7
barristan,jaime,7
sansa,shae,7
aemon,jon,7
dontos,sansa,7
arya,lem,7
gregor,jaime,7
jaime,sansa,7
anguy,tom,6
bronn,tyrion,6
anguy,arya,6
oberyn,tywin,6
robert,thoros,6
cersei,tywin,6
jaime,tyrion,6
davos,edric,6
loras,sansa,6
bronn,lollys,6
mace,tywin,6
rattleshirt,ygritte,6
robert,tywin,6
gendry,harwin,6
clegane,thoros,6
belwas,jorah,6
rhaegar,viserys,6
dick,jon,6
arya,sansa,6
daario,jorah,6
catelyn,grey,6
alester,davos,6
catelyn,ned,6
catelyn,jaime,6
arya,jon,6
jon,owen,6
jon,robert,6
jaime,urswyck,6
jon,kegs,6
tormund,ygritte,6
jaime,robin,6
davos,pylos,5
desmond,utherydes,5
shae,varys,5
lollys,shae,5
frey,walder,5
meera,sam,5
butterbumps,sansa,5
olenna,sansa,5
lysa,petyr,5
lark,small,5
davos,devan,5
melisandre,sam,5
jojen,jon,5
chett,small,5
stannis,tywin,5
janos,sam,5
aegon,davos,5
edric,stannis,5
loras,margaery,5
mace,sansa,5
grigg,jarl,5
bronn,oberyn,5
anguy,harwin,5
balon,jaime,5
jaime,meryn,5
craster,jon,5
mance,qhorin,5
kevan,lancel,5
barristan,robert,5
denys,jon,5
harwin,tom,5
gregor,tywin,5
brienne,qyburn,5
jarl,styr,5
gilly,jon,4
irri,jorah,4
jhiqui,jorah,4
daario,tyroshi,4
irri,jhiqui,4
roslin,walder,4
boros,jaime,4
dickon,sam,4
hoster,jaime,4
lem,thoros,4
jorah,viserys,4
pyat,xaro,4
catelyn,theon,4
bowen,othell,4
brella,shae,4
redwyne,rowan,4
andrew,davos,4
jack,tom,4
jojen,sam,4
queen,stannis,4
edmure,roslin,4
meera,old,4
aerys,rossart,4
bryen,petyr,4
axell,melisandre,4
gendry,jack-be-lucky,4
cersei,kevan,4
alliser,janos,4
loras,olenna,4
lollys,tanda,4
arya,mycah,4
jaime,roose,4
catelyn,roose,4
podrick,tyrion,4
bronn,tywin,4
anguy,lem,4
addam,tywin,4
jaime,tommen,4
oberyn,tyrion,4
catelyn,lothar,4
shae,symon,4
grazdan,kraznys,4
renly,stannis,4
cersei,robert,4
jon,old,4
catelyn,frey,4
jaime,shagwell,4
ben,brown,4
catelyn,lysa,4
catelyn,desmond,4
arya,roose,4
clegane,oberyn,4
clegane,tickler,4
lothor,sansa,4
craster,mormont,4
chett,sam,4
dontos,florian,4
catelyn,marq,4
jon,varamyr,4
oberyn,sansa,4
ellaria,oberyn,3
rhaegar,robert,3
gregor,red,3
elia,oberyn,3
dornish,oberyn,3
orell,ygritte,3
craster,dirk,3
gendry,lem,3
brynden,catelyn,3
dirk,ollo,3
bowen,jon,3
alliser,mance,3
garlan,loras,3
harma,mance,3
cersei,tyrion,3
dontos,petyr,3
jon,theon,3
catelyn,mother,3
aegon,jorah,3
brown,daario,3
davos,robert,3
owen,satin,3
elia,jaime,3
arya,sharna,3
hodor,old,3
mace,stannis,3
davos,florent,3
hodor,sam,3
mother,sansa,3
jon,orell,3
jason,tytos,3
barristan,viserys,3
jhiqui,missandei,3
margaery,willas,3
axell,porridge,3
arya,catelyn,3
azor,stannis,3
elinor,megga,3
robert,stannis,3
edric,robert,3
jon,mag,3
chett,sweet,3
jarl,ygritte,3
cleon,ghael,3
catelyn,robin,3
thoros,tom,3
harwin,thoros,3
catelyn,dacey,3
oswell,sansa,3
boros,meryn,3
boros,loras,3
jaime,myrcella,3
aerys,brienne,3
dirk,sam,3
dalla,val,3
mance,styr,3
mance,varamyr,3
husband,lem,3
bowen,janos,3
jorah,mero,3
jack-be-lucky,lem,3
craster,giant,3
clydas,sam,3
bronn,tanda,3
pycelle,tywin,3
cotter,denys,3
alester,stannis,3
grey,jorah,3
arryn,lysa,3
brown,jorah,3
moon,sansa,3
petyr,robert,3
black,edwyn,3
mance,sam,3
brienne,sansa,3
clubfoot,craster,3
salladhor,stannis,3
kevan,willem,3
grey,walder,3
dale,davos,3
kevan,sansa,3
brienne,vargo,3
bronn,mandon,3
gregor,tickler,3
rorge,zollo,3
clegane,gregor,3
errok,grigg,3
catelyn,maege,3
daenerys,jorah,3
brienne,renly,3
aerys,tywin,3
chett,mance,3
gregor,tyrion,3
meryn,tickler,3
anguy,thoros,3
ghost,jon,3
janos,stannis,3
robb,tywin,3
aerys,robert,3
arya,robb,3
blane,chett,3
jaime,tarth,3
frey,jaime,3
bannen,craster,3
beric,clegane,3
ned,robert,3
brienne,rorge,3
mance,rattleshirt,3
dacey,maege,3
arstan,jhogo,3
brienne,urswyck,3
jon,septon,3
donal,kegs,3
arthur,jaime,3
jon,ned,3
craster,garth,3
bronn,podrick,3
