src,des,value
ned,robert,159
jon,sam,125
brienne,jaime,99
jon,ygritte,80
jojen,meera,72
jon,tormund,67
arya,gendry,66
jon,mormont,64
jon,stannis,63
jon,qhorin,62
arya,sansa,61
grenn,jon,57
catelyn,ned,56
hodor,meera,53
davos,stannis,52
jon,mance,50
jon,melisandre,50
gilly,sam,45
jaime,robert,44
arya,jon,43
grenn,sam,43
jon,robert,41
jon,ned,41
robert,stannis,40
jon,satin,40
bowen,jon,39
melisandre,stannis,38
brienne,catelyn,38
cersei,jaime,38
jaime,tywin,38
barristan,hizdahr,36
brienne,podrick,36
euron,victarion,36
davos,melisandre,34
gerris,quentyn,34
renly,stannis,33
craster,sam,33
hodor,jojen,33
craster,jon,33
arya,ned,32
alliser,jon,32
arya,syrio,31
arya,yoren,30
irri,jhiqui,29
bronn,tyrion,29
jorah,viserys,29
robert,sansa,28
brienne,renly,27
petyr,sansa,27
cleos,jaime,27
dareon,sam,27
petyr,robert,26
clydas,jon,26
catelyn,jaime,26
arya,hot,26
jaime,qyburn,26
brienne,hyle,25
benjen,jon,25
aerys,jaime,25
catelyn,hoster,25
gendry,hot,24
aemon,sam,24
jon,rattleshirt,24
jon,samwell,24
tyrion,tywin,24
dontos,sansa,23
brienne,dick,23
catelyn,renly,22
renly,robert,22
catelyn,rodrik,22
jon,tyrion,22
sam,stannis,22
janos,jon,21
jon,val,20
arya,weese,20
ilyn,jaime,20
brienne,sansa,19
jaime,tyrion,19
kevan,tywin,19
jeyne,sansa,19
catelyn,walder,19
jaime,lancel,19
arya,sandor,19
daario,hizdahr,19
catelyn,edmure,19
jaime,loras,18
cersei,robert,18
jaime,sansa,18
stannis,tywin,18
gregor,oberyn,18
brienne,cleos,18
drogo,jorah,18
arya,tom,18
asha,justin,17
craster,gilly,17
jon,stonesnake,17
sam,samwell,17
ned,varys,17
arya,jaqen,17
arianne,myrcella,16
catelyn,lysa,16
arya,nymeria,16
mormont,sam,16
ghost,jon,16
brynden,catelyn,16
lysa,robert,16
hizdahr,skahaz,16
aeron,euron,15
clegane,sandor,15
loras,margaery,15
sam,small,15
cersei,ned,15
margaery,sansa,15
jon,old,15
lysa,sansa,15
jaime,steelshanks,15
arya,lommy,14
aerys,robert,14
arstan,jorah,14
sandor,sansa,14
illyrio,viserys,14
bronn,vardis,14
catelyn,tywin,14
halder,jon,14
sam,xhondo,14
jon,theon,14
aemon,jon,14
ramsay,reek,14
cressen,pylos,14
arya,old,14
lem,tom,14
barristan,robert,14
catelyn,sansa,14
sansa,stannis,13
rhaegar,viserys,13
arya,thoros,13
darry,jaime,13
loras,sansa,13
cersei,sansa,13
gregor,jaime,13
alys,jon,13
rhaegar,robert,13
shae,varys,13
boros,meryn,13
barristan,daario,13
robert,tywin,13
catelyn,grey,13
cersei,tyrion,13
catelyn,tyrion,13
pyat,xaro,13
jaime,tommen,13
devan,stannis,13
arya,clegane,13
barristan,daenerys,13
jon,sansa,13
cersei,kevan,13
jarl,jon,13
asha,qarl,12
lysa,petyr,12
gendry,yoren,12
catelyn,robert,12
ned,renly,12
frey,walder,12
